iter	Logloss
0	0.6649431602
1	0.6418327349
2	0.6227701929
3	0.6012236735
4	0.5833578962
5	0.5689546028
6	0.5563916376
7	0.5461244017
8	0.5351800455
9	0.5245425894
10	0.5146556604
11	0.5080845793
12	0.5001822661
13	0.4938131657
14	0.4868598735
15	0.4801221811
16	0.4760553923
17	0.4713143381
18	0.4682063363
19	0.4660674909
20	0.4626491519
21	0.4585767174
22	0.4550155456
23	0.4503116944
24	0.4478543435
25	0.4449972541
26	0.4423129495
27	0.4391497515
28	0.4362908519
29	0.4339277284
30	0.429968217
31	0.4279147039
32	0.4265224426
33	0.4247804054
34	0.4230694751
35	0.4210952478
36	0.418805895
37	0.4171677511
38	0.4141798398
39	0.4124964667
40	0.4114099201
41	0.4103062497
42	0.4083210552
43	0.4065742121
44	0.4054125158
45	0.4043063548
46	0.4031485502
47	0.4019180337
48	0.4008347605
49	0.3998084433
50	0.3988010074
51	0.3977251225
52	0.3971417043
53	0.395998146
54	0.3944164457
55	0.3923897108
56	0.3912621157
57	0.3903532675
58	0.3898878289
59	0.3890997167
60	0.3885488857
61	0.386875519
62	0.3859796311
63	0.3852978986
64	0.3827945794
65	0.3819735303
66	0.3808566766
67	0.3798754228
68	0.3791374023
69	0.3785246688
70	0.3773275614
71	0.3763461456
72	0.3756856227
73	0.375059278
74	0.3741199476
75	0.3728184341
76	0.3722217828
77	0.3707374157
78	0.3703912178
79	0.3695778153
80	0.3675241965
81	0.3669705017
82	0.366027178
83	0.3650429692
84	0.3643834264
85	0.3633310474
86	0.3621331954
87	0.3616719366
88	0.3608273041
89	0.3604435397
90	0.3589297351
91	0.35750992
92	0.3571733319
93	0.3555161501
94	0.3546050989
95	0.3539223528
96	0.3536140626
97	0.3529360619
98	0.3522926767
99	0.3511936735
100	0.3507534889
101	0.3495820824
102	0.3482704896
103	0.3471458805
104	0.3460141006
105	0.3451531395
106	0.3444494964
107	0.3433973502
108	0.3421693276
109	0.3415917838
110	0.340794162
111	0.3401565527
112	0.3385043289
113	0.3381533047
114	0.3372350816
115	0.3360807405
116	0.3354829043
117	0.3351559989
118	0.3343649003
119	0.3331773049
120	0.3326354129
121	0.332173882
122	0.3314731752
123	0.3305647796
124	0.3297703705
125	0.3284754539
126	0.3278427663
127	0.3272974936
128	0.3260250634
129	0.3253947249
130	0.3243892686
131	0.3239291457
132	0.3228631378
133	0.3220418822
134	0.3212654603
135	0.320845751
136	0.320155411
137	0.3192314384
138	0.3187918899
139	0.3182267455
140	0.3178805644
141	0.3168738424
142	0.3152753387
143	0.3149152381
144	0.3143702327
145	0.3136171788
146	0.3126573046
147	0.3112053473
148	0.3107661208
149	0.3102431388
150	0.3098248546
151	0.3087453398
152	0.3084857851
153	0.3074682786
154	0.3065461461
155	0.305570763
156	0.3049228531
157	0.3044227388
158	0.3038056329
159	0.3031150508
160	0.3027020768
161	0.3010651633
162	0.3007235341
163	0.3000855225
164	0.2993267458
165	0.2985732108
166	0.2982652235
167	0.29751049
168	0.2970661353
169	0.2966057105
170	0.2961253635
171	0.2952769055
172	0.2945871873
173	0.2941912364
174	0.2934448175
175	0.2931178297
176	0.292476217
177	0.2919692463
178	0.2914302774
179	0.2910592851
180	0.2906444532
181	0.2901347251
182	0.2896029955
183	0.2887681511
184	0.288374114
185	0.288172587
186	0.2879157679
187	0.2874899401
188	0.2870679068
189	0.2860658808
190	0.2854566327
191	0.2848959526
192	0.2841500576
193	0.2837677269
194	0.2834987041
195	0.2829146495
196	0.2823598136
197	0.2816909401
198	0.2813688407
199	0.2808460937
200	0.280175293
201	0.2797168123
202	0.2792069164
203	0.2784447424
204	0.2776219318
205	0.2772413289
206	0.2765818081
207	0.2756700665
208	0.2754551012
209	0.2749774833
210	0.2744995406
211	0.2735575978
212	0.2729222912
213	0.2725400268
214	0.2717215536
215	0.2707586949
216	0.2699746926
217	0.2688863379
218	0.2682989947
219	0.2676323359
220	0.2669676583
221	0.2657437553
222	0.2653682424
223	0.2646382883
224	0.2639444077
225	0.2631173338
226	0.2627419653
227	0.2621707501
228	0.2616869248
229	0.2611292793
230	0.260716722
231	0.2600954153
