iter	Logloss
232	0.2591110073
233	0.2585238308
234	0.257995558
235	0.2574302902
236	0.2561708184
237	0.255577762
238	0.2549888759
239	0.2544147147
240	0.2536363012
241	0.2533224709
242	0.2522869504
243	0.251503074
244	0.250788853
245	0.2503230346
246	0.2499590786
247	0.2495318308
248	0.2483533965
249	0.2479508922
250	0.2471506621
251	0.2464357763
252	0.245602549
253	0.244939968
254	0.2442623637
255	0.2438923371
256	0.2434853397
257	0.2420793678
258	0.2413564871
259	0.2407511276
260	0.2399365173
261	0.2392570734
262	0.2388207235
263	0.238459951
264	0.2377586802
265	0.237116918
266	0.2365522676
267	0.2358185742
268	0.2347747016
269	0.2341813731
270	0.2331586386
271	0.2325634174
272	0.2314111188
273	0.2306461523
274	0.2295039363
275	0.22890339
276	0.2278223702
277	0.2270284539
278	0.2265723489
279	0.2257841588
280	0.2249246157
281	0.2243744293
282	0.2238831226
283	0.223128567
284	0.2226482985
285	0.2220452172
286	0.2214099201
287	0.2207913681
288	0.2199239623
289	0.2193922662
290	0.2189075976
291	0.2182672291
292	0.2177834514
293	0.2174678275
294	0.2170639056
295	0.2160758195
296	0.215677097
297	0.2148589187
298	0.2143045662
299	0.213501258
300	0.2126810267
301	0.212270017
302	0.2118185832
303	0.2113537401
304	0.2106451271
305	0.2100503769
306	0.2095452589
307	0.2089392409
308	0.2083923687
309	0.2078395591
310	0.2072957648
311	0.2068910282
312	0.2063207449
313	0.2057516392
314	0.2048172012
315	0.2044507088
316	0.2041020788
317	0.2034065774
318	0.2030189286
319	0.2025238862
320	0.2021726006
321	0.2015283356
322	0.2006280181
323	0.1998468636
324	0.1994506297
325	0.1990793709
326	0.1983417644
327	0.1977865071
328	0.1971617231
329	0.1964591401
330	0.1961739918
331	0.1953623718
332	0.1949364915
333	0.1942229402
334	0.1936948957
335	0.1931231263
336	0.1925557586
337	0.1919387799
338	0.1914504866
339	0.1909739919
340	0.1905098658
341	0.1899912245
342	0.1896618872
343	0.1893287418
344	0.1888183355
345	0.1886033887
346	0.1881326023
347	0.1877037775
348	0.1870273748
349	0.1865987193
350	0.1859286123
351	0.1852869646
352	0.1846351003
353	0.1839710804
354	0.1834989385
355	0.1831814494
356	0.1826386538
357	0.1823216863
358	0.1819206828
359	0.1812132293
360	0.1808082191
361	0.1803644645
362	0.1800548225
363	0.1796242285
364	0.1790813263
365	0.1784565874
366	0.1780142518
367	0.1774252526
368	0.1771321034
369	0.1767869318
370	0.1763543074
371	0.1759126905
372	0.1755099622
373	0.1752953717
374	0.1748930778
375	0.1745032002
376	0.1739882136
377	0.1733566071
378	0.1730072827
379	0.1727793103
380	0.1723743847
381	0.1715720453
382	0.1709370012
383	0.1706156419
384	0.170093382
385	0.1698199091
386	0.1694197539
387	0.1688445203
388	0.1682310723
389	0.1677290745
390	0.1672258054
391	0.1665902097
392	0.1661695751
393	0.1657364353
394	0.1653884867
395	0.165073309
396	0.1646063566
397	0.1642221709
398	0.1638899608
399	0.163493927
